FIT Profiler Report
Profile stats for: [LightningModule]BERTSQuADModule.configure_callbacks rank: 1
         7 function calls in 0.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6302    0.027    0.000    0.039    0.000 dis.py:292(_disassemble)
       14    0.000    0.000    0.039    0.003 sessions.py:750(merge_environment_settings)
   102/96    0.001    0.000    0.036    0.000 table.py:1840(array_cast)
   144/90    0.003    0.000    0.036    0.000 table.py:1953(cast_array_to_feature)
18051/18021    0.005    0.000    0.036    0.000 {built-in method builtins.next}
    16612    0.009    0.000    0.036    0.000 _dill.py:83(memoize)
    17129    0.015    0.000    0.035    0.000 <frozen os>:674(__getitem__)
       60    0.035    0.001    0.035    0.001 compute.py:346(cast)
        8    0.000    0.000    0.033    0.004 sessions.py:302(rebuild_proxies)
        8    0.000    0.000    0.033    0.004 utils.py:854(resolve_proxies)
    10138    0.032    0.000    0.032    0.000 tokenization_utils_base.py:335(sequence_ids)
     7768    0.017    0.000    0.029    0.000 pickle.py:851(save_str)
        2    0.027    0.014    0.027    0.014 {method 'close' of '_io.BufferedWriter' objects}
        1    0.000    0.000    0.027    0.027 arrow_writer.py:721(finalize)
        3    0.000    0.000    0.027    0.009 local.py:486(close)
     8844    0.017    0.000    0.027    0.000 pickle.py:491(memoize)
    89130    0.026    0.000    0.027    0.000 {built-in method builtins.max}
230209/230129    0.024    0.000    0.025    0.000 {built-in method builtins.len}
    39607    0.016    0.000    0.022    0.000 pickle.py:241(write)
    27631    0.015    0.000    0.020    0.000 pickle.py:217(commit_frame)
    90349    0.019    0.000    0.019    0.000 {method 'dim' of 'torch._C.TensorBase' objects}
     7510    0.007    0.000    0.016    0.000 {built-in method builtins.all}
    13118    0.013    0.000    0.016    0.000 dis.py:594(_unpack_opargs)
        1    0.000    0.000    0.016    0.016 repocard.py:136(load)
        1    0.000    0.000    0.015    0.015 repocard.py:43(__init__)
        1    0.000    0.000    0.015    0.015 repocard.py:86(content)
    33580    0.009    0.000    0.015    0.000 <frozen os>:760(decode)
        1    0.000    0.000    0.015    0.015 __init__.py:117(safe_load)
        1    0.000    0.000    0.015    0.015 __init__.py:74(load)
        1    0.000    0.000    0.015    0.015 constructor.py:47(get_single_data)
     2979    0.007    0.000    0.015    0.000 {method '__reduce_ex__' of 'object' objects}
    16848    0.007    0.000    0.015    0.000 <frozen os>:697(__iter__)
        1    0.000    0.000    0.014    0.014 composer.py:29(get_single_node)
        1    0.000    0.000    0.014    0.014 composer.py:50(compose_document)
    146/1    0.000    0.000    0.014    0.014 composer.py:63(compose_node)
     19/1    0.000    0.000    0.014    0.014 composer.py:117(compose_mapping_node)
     3739    0.003    0.000    0.014    0.000 _dill.py:130(numpyufunc)
    88963    0.013    0.000    0.013    0.000 {built-in method torch._C._has_torch_function_unary}
        1    0.000    0.000    0.013    0.013 arrow_dataset.py:787(from_file)
    17129    0.009    0.000    0.013    0.000 <frozen os>:756(encode)
      465    0.000    0.000    0.013    0.000 parser.py:94(check_event)
     3739    0.003    0.000    0.013    0.000 _dill.py:132(numpydtype)
     4058    0.004    0.000    0.012    0.000 {built-in method builtins.any}
      257    0.004    0.000    0.012    0.000 dis.py:618(findlabels)
       10    0.002    0.000    0.012    0.001 arrow_writer.py:703(write_table)
       40    0.012    0.000    0.012    0.000 tokenization_utils_fast.py:587(<listcomp>)
    30060    0.012    0.000    0.012    0.000 <frozen _collections_abc>:835(__iter__)
        2    0.012    0.006    0.012    0.006 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
      241    0.001    0.000    0.012    0.000 _dill.py:133(_save_set)
    15/12    0.000    0.000    0.011    0.001 composer.py:99(compose_sequence_node)
       74    0.001    0.000    0.011    0.000 _tensor_str.py:306(<listcomp>)
    22143    0.008    0.000    0.010    0.000 _dill.py:324(get)
   536/88    0.004    0.000    0.010    0.000 _tensor_str.py:395(get_summarized_data)
        1    0.000    0.000    0.010    0.010 arrow_reader.py:316(read_table)
        1    0.000    0.000    0.010    0.010 table.py:1015(from_file)
        1    0.007    0.007    0.010    0.010 table.py:62(_memory_mapped_arrow_table_from_file)
     3739    0.002    0.000    0.010    0.000 _dill.py:120(ndarraysubclassinstance)
     1114    0.001    0.000    0.010    0.000 scanner.py:113(check_token)
       74    0.001    0.000    0.010    0.000 _tensor_str.py:313(<listcomp>)
   108519    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
      204    0.001    0.000    0.009    0.000 _dill.py:1552(save_cell)
        3    0.000    0.000    0.009    0.003 arrow_dataset.py:707(__init__)
57638/57568    0.008    0.000    0.009    0.000 {built-in method builtins.isinstance}
      251    0.000    0.000    0.009    0.000 local.py:468(write)
40423/40420    0.008    0.000    0.009    0.000 {built-in method builtins.getattr}
      251    0.009    0.000    0.009    0.000 {method 'write' of '_io.BufferedWriter' objects}
      499    0.000    0.000    0.008    0.000 contextlib.py:132(__enter__)
        1    0.000    0.000    0.008    0.008 builder.py:301(__init__)
    56938    0.008    0.000    0.008    0.000 {built-in method builtins.id}
     2553    0.005    0.000    0.007    0.000 copyreg.py:113(_slotnames)
 1820/565    0.003    0.000    0.007    0.000 copy.py:128(deepcopy)
    42053    0.007    0.000    0.007    0.000 {method 'get' of 'dict' objects}
      275    0.000    0.000    0.007    0.000 pickle.py:925(save_list)
      199    0.007    0.000    0.007    0.000 {built-in method torch.isfinite}
      197    0.001    0.000    0.007    0.000 scanner.py:156(fetch_more_tokens)
    10010    0.005    0.000    0.007    0.000 <frozen _collections_abc>:786(keys)
    15317    0.007    0.000    0.007    0.000 _dill.py:131(<genexpr>)
    37295    0.006    0.000    0.006    0.000 {method 'decode' of 'bytes' objects}
       74    0.000    0.000    0.006    0.000 _tensor_str.py:411(<listcomp>)
       14    0.000    0.000    0.006    0.000 sessions.py:457(prepare_request)
      402    0.003    0.000    0.006    0.000 _python_dispatch.py:301(_disable_current_modes)
      301    0.001    0.000    0.006    0.000 _dill.py:1086(_locate_function)
        1    0.000    0.000    0.006    0.006 builder.py:1030(as_dataset)
        1    0.000    0.000    0.006    0.006 py_utils.py:417(map_nested)
        1    0.000    0.000    0.006    0.006 builder.py:1105(_build_single_dataset)
        1    0.000    0.000    0.006    0.006 builder.py:1174(_as_dataset)
      4/3    0.000    0.000    0.006    0.002 fingerprint.py:410(wrapper)
25872/25868    0.006    0.000    0.006    0.000 {method 'encode' of 'str' objects}
      573    0.003    0.000    0.006    0.000 _tensor_str.py:288(<listcomp>)
   135/18    0.001    0.000    0.005    0.000 copy.py:259(_reconstruct)
     5388    0.004    0.000    0.005    0.000 pickle.py:526(get)
      277    0.001    0.000    0.005    0.000 pickle.py:938(_batch_appends)
      460    0.001    0.000    0.005    0.000 _tensor_str.py:278(<listcomp>)
       17    0.000    0.000    0.005    0.000 client.py:224(parse_headers)
       61    0.000    0.000    0.005    0.000 parser.py:446(parse_block_mapping_value)
    24570    0.005    0.000    0.005    0.000 {method 'join' of 'str' objects}
    15115    0.005    0.000    0.005    0.000 _dill.py:133(<genexpr>)
    18906    0.005    0.000    0.005    0.000 dis.py:183(_deoptop)
      460    0.001    0.000    0.005    0.000 _tensor_str.py:280(<listcomp>)
    15651    0.005    0.000    0.005    0.000 {built-in method builtins.hasattr}
      501    0.002    0.000    0.005    0.000 _dill.py:1053(_import_module)
    15316    0.004    0.000    0.004    0.000 _dill.py:121(<genexpr>)
     7912    0.004    0.000    0.004    0.000 {built-in method builtins.print}
    14775    0.004    0.000    0.004    0.000 {built-in method _struct.pack}
        1    0.000    0.000    0.004    0.004 _dill.py:213(_save_transformersPreTrainedTokenizerBase)
       17    0.000    0.000    0.004    0.000 parser.py:59(parsestr)
       17    0.000    0.000    0.004    0.000 parser.py:41(parse)
       80    0.000    0.000    0.004    0.000 parser.py:427(parse_block_mapping_key)
       39    0.000    0.000    0.004    0.000 features.py:1773(__init__)
      112    0.000    0.000    0.004    0.000 scanner.py:668(fetch_plain)
        1    0.000    0.000    0.004    0.004 arrow_dataset.py:4036(select)
   163/53    0.001    0.000    0.004    0.000 copy.py:227(_deepcopy_dict)
     10/9    0.000    0.000    0.004    0.000 _dill.py:322(save_code)
    74/72    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:1165(_find_and_load)
    14007    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x14f52fadea00}
       14    0.000    0.000    0.004    0.000 models.py:351(prepare)
      199    0.004    0.000    0.004    0.000 {built-in method torch.masked_select}
        1    0.000    0.000    0.004    0.004 arrow_dataset.py:4126(_select_contiguous)
      7/5    0.000    0.000    0.004    0.001 <frozen importlib._bootstrap>:1120(_find_and_load_unlocked)
       19    0.002    0.000    0.004    0.000 {built-in method io.open}
     5728    0.003    0.000    0.004    0.000 logger.py:136(trace)
     4663    0.004    0.000    0.004    0.000 {built-in method builtins.sorted}
       17    0.000    0.000    0.004    0.000 feedparser.py:173(feed)
    27662    0.004    0.000    0.004    0.000 {method 'tell' of '_io.BytesIO' objects}
        1    0.000    0.000    0.004    0.004 arrow_dataset.py:3579(init_buffer_and_writer)
      112    0.001    0.000    0.004    0.000 scanner.py:1270(scan_plain)
        5    0.000    0.000    0.004    0.001 info.py:296(copy)
       34    0.000    0.000    0.004    0.000 feedparser.py:178(_call_parse)
       12    0.000    0.000    0.003    0.000 py_utils.py:193(asdict)
        5    0.000    0.000    0.003    0.001 info.py:297(<dictcomp>)
       34    0.000    0.000    0.003    0.000 feedparser.py:218(_parsegen)
   542/12    0.001    0.000    0.003    0.000 py_utils.py:205(_asdict_inner)
        2    0.000    0.000    0.003    0.002 socket.py:945(getaddrinfo)
      100    0.000    0.000    0.003    0.000 features.py:459(cast_to_python_objects)
        4    0.000    0.000    0.003    0.001 features.py:1825(from_arrow_schema)
      175    0.001    0.000    0.003    0.000 features.py:1724(wrapper)
       23    0.000    0.000    0.003    0.000 __init__.py:272(_compile)
        2    0.003    0.002    0.003    0.002 {built-in method _socket.getaddrinfo}
        2    0.000    0.000    0.003    0.002 _api.py:369(__enter__)
      103    0.001    0.000    0.003    0.000 pickle.py:1056(save_global)
        2    0.000    0.000    0.003    0.002 _api.py:271(acquire)
        1    0.002    0.002    0.003    0.003 table.py:47(_memory_mapped_record_batch_reader_from_file)
        2    0.000    0.000    0.003    0.002 _unix.py:39(_acquire)
  260/100    0.002    0.000    0.003    0.000 features.py:273(_cast_to_python_objects)
       10    0.000    0.000    0.003    0.000 __init__.py:225(compile)
    27525    0.003    0.000    0.003    0.000 pickle.py:605(persistent_id)
        1    0.000    0.000    0.003    0.003 builder.py:694(download_and_prepare)
        6    0.000    0.000    0.003    0.001 _compiler.py:738(compile)
      146    0.001    0.000    0.003    0.000 parser.py:273(parse_node)
       59    0.002    0.000    0.003    0.000 url.py:227(_encode_invalid_chars)
     1872    0.003    0.000    0.003    0.000 _dill.py:1236(_repr_dict)
       31    0.000    0.000    0.003    0.000 url.py:367(parse_url)
    17541    0.003    0.000    0.003    0.000 {built-in method builtins.issubclass}
        8    0.000    0.000    0.003    0.000 features.py:1814(arrow_schema)
       17    0.000    0.000    0.003    0.000 connection.py:418(request)
    18/12    0.000    0.000    0.003    0.000 py_utils.py:222(<dictcomp>)
       38    0.000    0.000    0.003    0.000 parser.py:402(parse_indentless_sequence_entry)
     3066    0.002    0.000    0.003    0.000 _dill.py:330(__missing__)
 1578/900    0.002    0.000    0.003    0.000 features.py:1658(require_decoding)
      175    0.000    0.000    0.003    0.000 features.py:1733(<dictcomp>)
   298/73    0.000    0.000    0.003    0.000 copy.py:264(<genexpr>)
      573    0.003    0.000    0.003    0.000 _tensor_str.py:285(<listcomp>)
      122    0.000    0.000    0.003    0.000 parser.py:270(parse_block_node_or_indentless_sequence)
     6357    0.002    0.000    0.003    0.000 _dill.py:2237(is_dill)
        3    0.003    0.001    0.003    0.001 {built-in method posix.open}
    12819    0.003    0.000    0.003    0.000 {built-in method builtins.repr}
     1805    0.001    0.000    0.003    0.000 scanner.py:145(need_more_tokens)
      460    0.002    0.000    0.002    0.000 {built-in method torch.cat}
       12    0.000    0.000    0.002    0.000 arrow_dataset.py:3316(check_if_shard_done)
       11    0.000    0.000    0.002    0.000 std.py:1198(update)
       17    0.000    0.000    0.002    0.000 adapters.py:336(build_response)
        5    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1054(_find_spec)
       12    0.000    0.000    0.002    0.000 std.py:1464(display)
       11    0.000    0.000    0.002    0.000 std.py:1325(refresh)
       10    0.002    0.000    0.002    0.000 main.py:59(<listcomp>)
      301    0.001    0.000    0.002    0.000 parse.py:374(urlparse)
        3    0.000    0.000    0.002    0.001 arrow_dataset.py:586(update_metadata_with_features)
        1    0.000    0.000    0.002    0.002 arrow_reader.py:227(read)
     1033    0.002    0.000    0.002    0.000 {method 'tolist' of 'torch._C.TensorBase' objects}
      594    0.001    0.000    0.002    0.000 _tensor_str.py:117(tensor_totype)
     8844    0.002    0.000    0.002    0.000 pickle.py:514(put)
        4    0.000    0.000    0.002    0.001 data_files.py:504(_get_origin_metadata)
      155    0.002    0.000    0.002    0.000 {built-in method posix.stat}
       14    0.000    0.000    0.002    0.000 models.py:409(prepare_url)
        5    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
        5    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
       12    0.002    0.000    0.002    0.000 {built-in method posix.mkdir}
     1151    0.001    0.000    0.002    0.000 pickle.py:751(save_long)
       17    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
      604    0.001    0.000    0.002    0.000 {built-in method builtins.__import__}
        1    0.000    0.000    0.002    0.002 arrow_reader.py:254(read_files)
        8    0.000    0.000    0.002    0.000 features.py:1888(to_dict)
        2    0.000    0.000    0.002    0.001 info.py:247(from_directory)
      500    0.001    0.000    0.002    0.000 contextlib.py:141(__exit__)
        1    0.000    0.000    0.002    0.002 arrow_reader.py:187(_read_files)
    12193    0.002    0.000    0.002    0.000 {method 'rjust' of 'str' objects}
        1    0.000    0.000    0.002    0.002 concurrent.py:54(thread_map)
        1    0.000    0.000    0.002    0.002 concurrent.py:29(_executor_map)
      488    0.001    0.000    0.002    0.000 temp.py:22(capture)
        6    0.000    0.000    0.002    0.000 _parser.py:970(parse)
     1846    0.002    0.000    0.002    0.000 dis.py:639(findlinestarts)
     3221    0.002    0.000    0.002    0.000 dis.py:381(_get_name_info)
        1    0.000    0.000    0.002    0.002 streaming.py:110(extend_dataset_builder_for_streaming)
        7    0.000    0.000    0.002    0.000 features.py:1859(from_dict)
     18/6    0.000    0.000    0.002    0.000 _parser.py:447(_parse_sub)
       17    0.000    0.000    0.002    0.000 adapters.py:423(get_connection_with_tls_context)
        2    0.000    0.000    0.002    0.001 streaming.py:42(extend_module_for_streaming)
     32/6    0.001    0.000    0.002    0.000 _parser.py:507(_parse)
    13693    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
        2    0.002    0.001    0.002    0.001 {built-in method posix.listdir}
      128    0.001    0.000    0.002    0.000 <frozen _collections_abc>:941(update)
     1105    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:1207(_handle_fromlist)
        1    0.000    0.000    0.002    0.002 tempfile.py:522(NamedTemporaryFile)
       17    0.001    0.000    0.002    0.000 feedparser.py:471(_parse_headers)
        1    0.000    0.000    0.002    0.002 arrow_dataset.py:2724(with_format)
      199    0.002    0.000    0.002    0.000 {method 'ne' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.002    0.002 shutil.py:783(move)
       37    0.000    0.000    0.002    0.000 models.py:890(content)
      291    0.001    0.000    0.002    0.000 _dill.py:1073(_getattribute)
        1    0.000    0.000    0.002    0.002 tempfile.py:558(opener)
        1    0.000    0.000    0.002    0.002 tempfile.py:243(_mkstemp_inner)
    10183    0.002    0.000    0.002    0.000 <frozen _collections_abc>:812(__init__)
        1    0.000    0.000    0.002    0.002 builder.py:506(_create_builder_config)
      171    0.000    0.000    0.002    0.000 {method 'join' of 'bytes' objects}
        1    0.000    0.000    0.002    0.002 hf_api.py:1002(__init__)
       69    0.002    0.000    0.002    0.000 {method 'acquire' of '_thread.lock' objects}
      402    0.001    0.000    0.002    0.000 <frozen _collections_abc>:771(get)
      499    0.001    0.000    0.002    0.000 contextlib.py:287(helper)
